  PID TTY      STAT   TIME COMMAND
12653 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
12654 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
12715 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
12716 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
12772 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
12773 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
12875 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
12879 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
12919 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
12920 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
12952 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
12953 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
12975 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
12980 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
13011 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
13012 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
13607 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
13608 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
13634 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
13635 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
13644 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
13645 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
13650 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
13651 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
13655 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
13656 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
13677 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
13678 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
13703 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
13704 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
13728 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
13731 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
13744 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
13745 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
17339 pts/2    S      0:01 /bin/bash /data/data/com.termux/files/usr/bin/bash /data/data/com.termux/files/home/kessel_flow/kessel_sentry.sh
18452 ?        Ssl    0:00 adb /data/data/com.termux/files/usr/bin/adb -L tcp:5037 fork-server server --reply-fd 4
21952 pts/3    Ss+    0:01 /data/data/com.termux/files/usr/bin/bash /data/data/com.termux/files/usr/bin/bash -l
21983 ?        S      1:21 /data/data/com.termux/files/usr/bin/runsvdir /data/data/com.termux/files/usr/bin/runsvdir /data/data/com.termux/files/usr/var/service
22005 pts/2    S      0:00 sleep /data/data/com.termux/files/usr/bin/sleep 300
22609 pts/0    S      0:00 sleep /data/data/com.termux/files/usr/bin/sleep 300
22849 pts/2    S      0:00 /data/data/com.termux/files/usr/bin/bash /data/data/com.termux/files/usr/bin/bash /data/data/com.termux/files/usr/bin/termux-notification -c Jules: Boneyard Disconnected. Recovery needed.
22856 pts/2    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Notification
22989 pts/0    S+     0:00 tail /data/data/com.termux/files/usr/bin/tail -f jules_activity.log
23546 ?        S      2:09 /data/data/com.termux/files/usr/bin/runsvdir /data/data/com.termux/files/usr/bin/runsvdir /data/data/com.termux/files/usr/var/service
23764 ?        S      0:00 /data/data/com.termux/files/usr/bin/bash /data/data/com.termux/files/usr/bin/bash /data/data/com.termux/files/usr/bin/termux-notification -c Jules: Boneyard Disconnected. Recovery needed.
23768 ?        S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Notification
