  PID TTY      STAT   TIME COMMAND
31552 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
31553 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
31565 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
31566 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
31656 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
31657 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
31693 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
31694 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
31732 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
31733 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
31769 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
31771 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
31806 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
31807 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
31817 ?        Z      0:00 [linker64] <defunct>
31818 ?        Z      0:00 [linker64] <defunct>
31819 ?        Z      0:00 [linker64] <defunct>
31820 ?        Z      0:00 [linker64] <defunct>
31821 ?        Z      0:00 [linker64] <defunct>
31822 ?        Z      0:00 [linker64] <defunct>
31823 ?        Z      0:00 [linker64] <defunct>
31824 ?        Z      0:00 [linker64] <defunct>
31825 ?        Z      0:00 [linker64] <defunct>
31826 ?        Z      0:00 [linker64] <defunct>
31827 ?        Z      0:00 [linker64] <defunct>
31828 ?        Z      0:00 [linker64] <defunct>
31829 ?        Z      0:00 [linker64] <defunct>
31830 ?        Z      0:00 [linker64] <defunct>
31831 ?        Z      0:00 [linker64] <defunct>
31832 ?        Z      0:00 [linker64] <defunct>
31833 ?        Z      0:00 [linker64] <defunct>
31834 ?        Z      0:00 [linker64] <defunct>
31842 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
31844 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
31861 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
31862 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
31877 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
31878 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
31893 pts/2    S      0:00 sleep /data/data/com.termux/files/usr/bin/sleep 1
31902 pts/2    S+     0:00 sleep /data/data/com.termux/files/usr/bin/sleep 1
31910 pts/3    R      0:00 ps /data/data/com.termux/files/usr/bin/ps ax
